0,1,2
IKBKB,pp,MAP3K11
IKBKB,pp,PRKCQ
IKBKB,pp,MAP4K4
IKBKB,pp,CHUK
IKBKB,pp,EIF2AK2
IKBKB,pp,IKBKB
IKBKB,pp,TGFBR1
IKBKB,pp,TBK1
IKBKB,pp,MAP3K1
IKBKB,pp,PPP2R1A
IKBKB,pp,PRKDC
IKBKB,pp,ATM
IKBKB,pp,CDC2
IKBKB,pp,CSNK2A2
IKBKB,pp,MAPK14
PTK2B,pp,SRC
PTK2B,pp,FYN
PTK2B,pp,RASA1
PTK2B,pp,JAK2
PTK2B,pp,PDPK1
PTK2B,pp,ZAP70
PTK2B,pp,ERBB2
PTK2B,pp,SYK
PTK2B,pp,PTK2B
PTK2B,pp,LCK
PTK2B,pp,EGFR
PTK2B,pp,JAK1
PTK2B,pp,MATK
PTK2B,pp,ERBB3
PTK2B,pp,FLT1
PTK2B,pp,PRKCD
PTK2B,pp,JAK3
PTK2B,pp,LYN
PTK2B,pp,FRAP1
PTK2B,pp,MAPK1
PTK2B,pp,MAPK3
PTK2B,pp,MAPK8
PTK2B,pp,RPS6KB1
PTK2B,pp,MAP3K5
PTK2B,pp,MAPK11
PTK2B,pp,MAPK9
PTK2B,pp,MAPK13
PTK2B,pp,TGFBR2
PTK2B,pp,MAPKAPK3
PTK2B,pp,MAPKAPK5
PTK2B,pp,CDC2L5
PTK2B,pp,RPS6KA5
PTK2B,pp,TAOK2
PTK2B,pp,MAP4K4
PTK2B,pp,MAP4K5
PTK2B,pp,MAP4K1
PTK2B,pp,MAST3
PTK2B,pp,TNIK
PTK2B,pp,STK39
PTK2B,pp,MINK1
PTK2B,pp,PINK1
PTK2B,pp,MAP3K4
PTK2B,pp,PRKDC
PTK2B,pp,HCK
PTK2B,pp,IGF1R
PTK2B,pp,INSR
PTK2B,pp,PTK2
PTK2B,pp,FGFR3
DUSP8,pp,PPP2R1B
MAP2K2,pp,MAP2K2
MAP2K2,pp,MAPK1
MAP2K2,pp,BRAF
MAP2K2,pp,MAPK3
MAP2K2,pp,KSR2
MAP2K2,pp,MAPK9
MAP2K2,pp,ARAF
GRK1,pp,GRK1
GRK1,pp,PRKCB1
TEC,pp,TEC
TEC,pp,JAK1
TEC,pp,KIT
TEC,pp,BMX
TEC,pp,BTK
TEC,pp,ZAP70
TEC,pp,MAP3K12
TEC,pp,MKNK1
TEC,pp,RPS6KA4
TEC,pp,RPS6KA5
TEC,pp,STK17B
TEC,pp,STK17A
TEC,pp,MAP4K4
TEC,pp,OXSR1
TEC,pp,MAP4K5
TEC,pp,MAP4K1
TEC,pp,STK38
TEC,pp,ICK
TEC,pp,TNIK
TEC,pp,DAPK2
TEC,pp,MINK1
TEC,pp,PINK1
TEC,pp,WNK1
TEC,pp,SNF1LK
TEC,pp,TXK
TEC,pp,HCK
TEC,pp,IGF1R
TEC,pp,JAK2
TYRO3,pp,YES1
TYRO3,pp,FYN
TYRO3,pp,SRC
MAPK7,pp,RAF1
MAPK7,pp,MAPK7
MAPK7,pp,MAP2K5
MAPK7,pp,MAP2K1
MAPK7,pp,MAP2K2
MAPK7,pp,MAPK12
ITK,pp,TGFBR1
ITK,pp,ITK
ITK,pp,FYN
ITK,pp,BMX
ITK,pp,SRC
ITK,pp,PRKCQ
ITK,pp,HCK
ITK,pp,INSR
ITK,pp,TEC
ITK,pp,BTK
RET,pp,MAPK14
RET,pp,MAPK9
RET,pp,RET
RET,pp,PTK2
RET,pp,LYN
RET,pp,LCK
RET,pp,IGF1R
RET,pp,PDPK1
RET,pp,MAPK3
RET,pp,MAPK8
RET,pp,MAPK1
TENC1,pp,AXL
TENC1,pp,PLK1
CSNK2A1,pp,PTEN
CSNK2A1,pp,PTPRC
CSNK2A1,pp,CTDP1
CSNK2A1,pp,CDC25B
CSNK2A1,pp,PPP1R2
CSNK2A1,pp,PTPN1
CSNK2A1,pp,PPP1R1B
CSNK2A1,pp,CSNK2A1
CSNK2A1,pp,CSNK2A2
CSNK2A1,pp,GSK3B
CSNK2A1,pp,PHKG2
CSNK2A1,pp,CDC7
CSNK2A1,pp,CAMKK2
CSNK2A1,pp,MAPK9
CSNK2A1,pp,BCR
CSNK2A1,pp,AKT1
CSNK2A1,pp,SRPK1
CSNK2A1,pp,ANP32A
CSNK2A1,pp,PPP1R8
MATK,pp,LYN
MATK,pp,ERBB2
MATK,pp,NTRK1
MATK,pp,SRC
MATK,pp,PDPK1
MATK,pp,MAPK8
MATK,pp,KIT
PPP1R9A,pp,PPP1CA
PPP1R9A,pp,PPP1R2
PPP1R9A,pp,PPP1R9A
PPP1R9A,pp,PPP1R9B
PPP1R9A,pp,RPS6KB1
PPP1R9A,pp,CSNK2A2
PPP1R9A,pp,MAPK14
ACP2,pp,ACPT
KIT,pp,PRKCB1
KIT,pp,ABL1
KIT,pp,BTK
KIT,pp,JAK2
KIT,pp,PTPN6
KIT,pp,PDGFRA
KIT,pp,PRKACB
KIT,pp,PRKG1
KIT,pp,IGF1R
KIT,pp,INSR
KIT,pp,PTPRU
KIT,pp,KIT
KIT,pp,INPP5D
KIT,pp,LCK
MAST2,pp,STK36
CDK5,pp,MAP2K1
CDK5,pp,ERBB3
CDK5,pp,PPP1R2
CDK5,pp,PAK1
CDK5,pp,MAPK10
CDK5,pp,CDKN3
CDK5,pp,LMTK2
CDK5,pp,CDK6
CDK5,pp,CDKL5
CDK5,pp,PPP1R1B
CDK5,pp,PCTK1
CDK5,pp,SRC
CDK5,pp,PTPN2
CDK5,pp,CDK5
EPHA1,pp,EPHA8
EPHA1,pp,EPHA5
SRPK1,pp,SRPK1
SRPK1,pp,NEK4
SRPK1,pp,STK4
SRPK1,pp,AURKA
SRPK1,pp,TEC
SRPK1,pp,TTK
SRPK1,pp,VRK1
SRPK1,pp,ZAP70
SRPK1,pp,MAP3K12
SRPK1,pp,CDC7
SRPK1,pp,MKNK1
SRPK1,pp,RIOK3
SRPK1,pp,RPS6KA4
SRPK1,pp,AURKB
SRPK1,pp,RPS6KA5
SRPK1,pp,STK17B
SRPK1,pp,STK17A
SRPK1,pp,MAP4K4
SRPK1,pp,MELK
SRPK1,pp,OXSR1
SRPK1,pp,PLK4
SRPK1,pp,CIT
SRPK1,pp,MAP4K5
SRPK1,pp,MAP4K1
SRPK1,pp,STK38
SRPK1,pp,ICK
SRPK1,pp,TNIK
SRPK1,pp,DAPK2
SRPK1,pp,MINK1
SRPK1,pp,PINK1
SRPK1,pp,WNK1
SRPK1,pp,SNF1LK
SRPK1,pp,SRPK2
DDR1,pp,PTPN11
DDR1,pp,EPHA2
DDR1,pp,EPHB2
DDR1,pp,EPHB4
DDR1,pp,EPHB6
DDR1,pp,ERBB2
DDR1,pp,ERBB3
DDR1,pp,FLT1
DDR1,pp,LTK
DDR1,pp,ROR1
DDR1,pp,PDGFRA
DDR1,pp,PDGFRB
DDR1,pp,TEK
DDR1,pp,DDR2
DDR1,pp,DDR1
PRKY,pp,TNK2
PPP2R5A,pp,CSNK1A1
PPP2R5A,pp,JAK2
PPP2R5A,pp,PRKCA
IRAK1,pp,MAPK8
IRAK1,pp,NTRK3
IRAK1,pp,RIPK2
IRAK1,pp,BTK
IRAK1,pp,MAP3K7
IRAK1,pp,IRAK1
IRAK1,pp,MAPK1
IRAK1,pp,CAMKK2
IRAK1,pp,MAP3K9
IRAK1,pp,MAP3K10
IRAK1,pp,MAP3K11
IRAK1,pp,TGFBR2
IRAK1,pp,TTN
IRAK1,pp,MAP3K12
IRAK1,pp,TNK1
IRAK1,pp,TAOK3
IRAK1,pp,CRKRS
IRAK1,pp,PRKCZ
CHUK,pp,CHUK
CHUK,pp,MAP3K8
CHUK,pp,MAP3K3
CHUK,pp,TGFBR1
CHUK,pp,MAP4K4
CHUK,pp,EIF2AK2
CHUK,pp,MAP3K11
CHUK,pp,PPM1B
CHUK,pp,PRKCQ
DUSP1,pp,MAPK14
DUSP1,pp,MAPK7
DUSP1,pp,MAPK10
DUSP1,pp,MAP2K1
DUSP1,pp,MAP2K2
DUSP1,pp,DUSP2
DUSP1,pp,DUSP8
DUSP1,pp,CDC2
TEK,pp,TEK
TEK,pp,LCK
TEK,pp,LYN
TEK,pp,FYN
TEK,pp,EGFR
TEK,pp,PTPRB
TRIM28,pp,TRIM28
TRIM28,pp,RPS6KA3
GAK,pp,ULK1
GAK,pp,TNK2
GAK,pp,CDK5
ZAP70,pp,FYN
ZAP70,pp,DUSP3
ZAP70,pp,PTPRC
ZAP70,pp,PTPN6
ZAP70,pp,RASA1
ZAP70,pp,ZAP70
ZAP70,pp,MAP3K12
ZAP70,pp,MKNK1
ZAP70,pp,RPS6KA4
ZAP70,pp,RPS6KA5
ZAP70,pp,STK17B
ZAP70,pp,STK17A
ZAP70,pp,MAP4K4
ZAP70,pp,OXSR1
ZAP70,pp,MAP4K5
ZAP70,pp,MAP4K1
ZAP70,pp,STK38
ZAP70,pp,ICK
ZAP70,pp,TNIK
ZAP70,pp,DAPK2
ZAP70,pp,MINK1
ZAP70,pp,PINK1
ZAP70,pp,WNK1
ZAP70,pp,SNF1LK
ZAP70,pp,CSNK1D
ZAP70,pp,SRC
ZAP70,pp,LYN
ZAP70,pp,INSR
ZAP70,pp,MAPK14
ZAP70,pp,PTPN22
DAPK2,pp,TGFBR1
DAPK2,pp,CAMK2A
DAPK2,pp,DAPK2
DAPK2,pp,MINK1
